membership,partition,partition_position,row_id,true_label,binary_group,family_group
0,target_validation,5477,44163,0,Normal,Normal
0,target_validation,4277,82407,1,Attack,DoS
0,target_validation,4685,17147,0,Normal,Normal
0,target_validation,3039,79056,0,Normal,Normal
1,target_train,18085,15199,1,Attack,Probe
1,target_train,55493,109261,0,Normal,Normal
0,target_validation,2831,122399,0,Normal,Normal
0,target_validation,1940,65461,1,Attack,DoS
1,target_train,26683,86880,0,Normal,Normal
1,target_train,36257,6297,1,Attack,DoS
1,target_train,19029,93345,1,Attack,Probe
0,target_validation,4159,77500,0,Normal,Normal
0,target_validation,4183,65328,1,Attack,DoS
0,target_validation,1708,120441,0,Normal,Normal
0,target_validation,4135,106904,1,Attack,DoS
1,target_train,57352,53310,0,Normal,Normal
0,target_validation,1586,20557,1,Attack,DoS
0,target_validation,11208,110299,0,Normal,Normal
1,target_train,51542,84452,1,Attack,DoS
1,target_train,84403,67439,1,Attack,DoS
0,target_validation,10032,47624,1,Attack,DoS
0,target_validation,11963,18457,0,Normal,Normal
0,target_validation,1961,85523,1,Attack,DoS
1,target_train,53134,84676,1,Attack,DoS
1,target_train,77333,84576,1,Attack,DoS
1,target_train,49917,46305,0,Normal,Normal
0,target_validation,2187,83502,0,Normal,Normal
1,target_train,5306,102251,0,Normal,Normal
0,target_validation,3094,41629,1,Attack,DoS
1,target_train,12188,51063,0,Normal,Normal
1,target_train,48042,88008,0,Normal,Normal
0,target_validation,5588,94504,0,Normal,Normal
1,target_train,10412,122721,1,Attack,DoS
0,target_validation,1304,59142,1,Attack,DoS
0,target_validation,10214,73819,0,Normal,Normal
0,target_validation,8118,119678,0,Normal,Normal
1,target_train,58282,91948,1,Attack,DoS
0,target_validation,5398,14437,1,Attack,Probe
1,target_train,38743,102970,0,Normal,Normal
0,target_validation,4376,44580,0,Normal,Normal
1,target_train,43272,37666,1,Attack,DoS
0,target_validation,10960,116039,1,Attack,DoS
1,target_train,31826,54202,0,Normal,Normal
1,target_train,86784,78084,0,Normal,Normal
1,target_train,84132,124605,0,Normal,Normal
1,target_train,35985,49974,0,Normal,Normal
0,target_validation,7996,54387,0,Normal,Normal
1,target_train,42194,70713,0,Normal,Normal
1,target_train,76241,31985,1,Attack,DoS
0,target_validation,1460,66743,0,Normal,Normal
1,target_train,31923,96381,1,Attack,DoS
1,target_train,28973,20076,1,Attack,DoS
1,target_train,61967,103361,0,Normal,Normal
0,target_validation,5791,44367,1,Attack,DoS
0,target_validation,1702,74037,1,Attack,Probe
1,target_train,9910,32251,0,Normal,Normal
1,target_train,20143,76582,1,Attack,DoS
0,target_validation,3090,49419,0,Normal,Normal
0,target_validation,5110,96318,0,Normal,Normal
1,target_train,79710,90829,0,Normal,Normal
0,target_validation,232,117168,1,Attack,DoS
1,target_train,32421,9938,0,Normal,Normal
0,target_validation,8964,5183,0,Normal,Normal
0,target_validation,9074,72493,1,Attack,DoS
1,target_train,20700,37790,1,Attack,DoS
1,target_train,66943,71391,0,Normal,Normal
0,target_validation,1349,34576,1,Attack,DoS
1,target_train,23690,59200,0,Normal,Normal
1,target_train,14222,17450,1,Attack,DoS
1,target_train,67060,75320,0,Normal,Normal
1,target_train,77296,69165,0,Normal,Normal
1,target_train,34121,44080,0,Normal,Normal
0,target_validation,4701,79895,0,Normal,Normal
0,target_validation,5344,122217,1,Attack,Probe
1,target_train,55107,89282,0,Normal,Normal
0,target_validation,7663,50835,1,Attack,DoS
1,target_train,36874,113835,1,Attack,DoS
0,target_validation,5764,66921,1,Attack,Probe
0,target_validation,11734,97503,0,Normal,Normal
0,target_validation,11355,5247,1,Attack,DoS
0,target_validation,9796,28994,0,Normal,Normal
1,target_train,365,46807,1,Attack,DoS
0,target_validation,12366,106694,0,Normal,Normal
0,target_validation,4816,58473,0,Normal,Normal
1,target_train,7354,80373,1,Attack,DoS
0,target_validation,7320,47981,0,Normal,Normal
1,target_train,80745,47468,1,Attack,DoS
0,target_validation,747,91453,1,Attack,DoS
0,target_validation,7243,50023,0,Normal,Normal
0,target_validation,2479,20871,1,Attack,Probe
1,target_train,43176,26156,0,Normal,Normal
0,target_validation,7891,68867,1,Attack,DoS
1,target_train,71971,41240,1,Attack,DoS
0,target_validation,11495,38390,0,Normal,Normal
1,target_train,29285,70766,0,Normal,Normal
1,target_train,23844,63022,0,Normal,Normal
0,target_validation,4574,113888,1,Attack,Probe
0,target_validation,10229,58629,1,Attack,Probe
1,target_train,63617,9771,0,Normal,Normal
1,target_train,44715,32602,0,Normal,Normal
1,target_train,24814,7356,0,Normal,Normal
0,target_validation,10848,93509,1,Attack,DoS
1,target_train,70387,63643,1,Attack,DoS
0,target_validation,1432,71118,1,Attack,Probe
1,target_train,41926,91759,0,Normal,Normal
0,target_validation,8476,61564,1,Attack,Rare
1,target_train,33123,70439,1,Attack,Rare
0,target_validation,10,16134,0,Normal,Normal
1,target_train,8154,71365,1,Attack,DoS
0,target_validation,8248,34431,1,Attack,DoS
0,target_validation,10093,40901,1,Attack,DoS
1,target_train,80952,34843,0,Normal,Normal
0,target_validation,7844,54531,0,Normal,Normal
0,target_validation,3493,31649,1,Attack,Probe
0,target_validation,2400,77793,0,Normal,Normal
0,target_validation,12552,15984,1,Attack,DoS
1,target_train,83921,125950,1,Attack,DoS
1,target_train,39287,65758,1,Attack,DoS
1,target_train,4509,77116,1,Attack,DoS
1,target_train,80090,4969,1,Attack,Rare
1,target_train,26318,112719,0,Normal,Normal
0,target_validation,11917,88613,1,Attack,DoS
0,target_validation,12151,96759,0,Normal,Normal
0,target_validation,3702,64342,0,Normal,Normal
0,target_validation,1219,6650,0,Normal,Normal
1,target_train,26901,109177,1,Attack,Probe
1,target_train,18183,30453,0,Normal,Normal
1,target_train,79008,100366,0,Normal,Normal
0,target_validation,11821,123404,0,Normal,Normal
1,target_train,10581,91089,1,Attack,DoS
0,target_validation,2210,94564,0,Normal,Normal
0,target_validation,10748,23894,1,Attack,Probe
0,target_validation,5343,24307,0,Normal,Normal
0,target_validation,5513,86193,1,Attack,DoS
0,target_validation,8557,33923,0,Normal,Normal
0,target_validation,4464,119265,1,Attack,Probe
0,target_validation,1664,7663,1,Attack,DoS
1,target_train,13499,115463,1,Attack,DoS
1,target_train,25324,72365,1,Attack,DoS
0,target_validation,3168,100298,1,Attack,DoS
1,target_train,88009,45910,0,Normal,Normal
0,target_validation,12319,81328,1,Attack,DoS
1,target_train,69624,55757,1,Attack,DoS
0,target_validation,5698,96853,1,Attack,DoS
1,target_train,32986,40525,1,Attack,Probe
0,target_validation,4471,42870,0,Normal,Normal
1,target_train,66214,25211,1,Attack,DoS
0,target_validation,7613,70138,0,Normal,Normal
1,target_train,27978,83671,0,Normal,Normal
1,target_train,38937,46364,1,Attack,DoS
0,target_validation,6283,112938,0,Normal,Normal
1,target_train,58639,8506,0,Normal,Normal
0,target_validation,11618,53634,1,Attack,Probe
0,target_validation,2484,58482,0,Normal,Normal
0,target_validation,5573,83492,0,Normal,Normal
0,target_validation,11218,7184,1,Attack,DoS
1,target_train,1277,84761,1,Attack,DoS
0,target_validation,10987,96180,1,Attack,DoS
0,target_validation,3234,84561,0,Normal,Normal
1,target_train,87387,38721,1,Attack,DoS
1,target_train,43430,79345,0,Normal,Normal
1,target_train,42360,77282,0,Normal,Normal
0,target_validation,4210,66905,1,Attack,DoS
1,target_train,74755,72391,0,Normal,Normal
0,target_validation,2585,24114,1,Attack,DoS
0,target_validation,3984,10619,0,Normal,Normal
1,target_train,84473,9875,1,Attack,DoS
0,target_validation,4469,15682,1,Attack,DoS
0,target_validation,3342,47980,1,Attack,DoS
1,target_train,37997,65063,1,Attack,DoS
0,target_validation,9641,23459,1,Attack,DoS
0,target_validation,12198,71565,0,Normal,Normal
1,target_train,55666,6635,0,Normal,Normal
0,target_validation,738,74263,1,Attack,Probe
0,target_validation,5086,67619,0,Normal,Normal
1,target_train,58397,117448,0,Normal,Normal
0,target_validation,8451,24496,0,Normal,Normal
0,target_validation,8728,13202,0,Normal,Normal
1,target_train,24763,8770,1,Attack,DoS
0,target_validation,10740,107553,1,Attack,DoS
1,target_train,31388,16572,1,Attack,DoS
0,target_validation,6706,12187,0,Normal,Normal
0,target_validation,11646,118375,0,Normal,Normal
0,target_validation,732,74828,0,Normal,Normal
0,target_validation,4994,28171,1,Attack,DoS
1,target_train,73344,73126,0,Normal,Normal
1,target_train,83053,17518,1,Attack,DoS
1,target_train,18697,39005,0,Normal,Normal
0,target_validation,7761,31638,1,Attack,DoS
1,target_train,72366,13442,0,Normal,Normal
0,target_validation,9810,88599,1,Attack,Probe
0,target_validation,8194,113193,1,Attack,DoS
0,target_validation,5500,108984,0,Normal,Normal
0,target_validation,1260,49445,0,Normal,Normal
0,target_validation,7647,72346,1,Attack,DoS
0,target_validation,10876,97077,0,Normal,Normal
0,target_validation,2240,61625,1,Attack,DoS
1,target_train,61436,11960,0,Normal,Normal
1,target_train,69105,16282,0,Normal,Normal
1,target_train,28505,22103,1,Attack,DoS
1,target_train,5089,85848,0,Normal,Normal
0,target_validation,3270,61430,0,Normal,Normal
1,target_train,12497,67508,0,Normal,Normal
0,target_validation,4028,76273,0,Normal,Normal
0,target_validation,7681,90290,1,Attack,DoS
1,target_train,48447,22457,0,Normal,Normal
1,target_train,49221,109398,0,Normal,Normal
1,target_train,8064,50892,1,Attack,DoS
1,target_train,49073,106536,0,Normal,Normal
0,target_validation,7071,35691,1,Attack,DoS
0,target_validation,634,43344,0,Normal,Normal
0,target_validation,963,42119,0,Normal,Normal
0,target_validation,9146,61239,1,Attack,DoS
1,target_train,69229,99209,1,Attack,DoS
0,target_validation,1955,57778,0,Normal,Normal
1,target_train,17628,45715,1,Attack,DoS
0,target_validation,1936,124942,1,Attack,DoS
1,target_train,50373,48714,0,Normal,Normal
0,target_validation,2693,116099,1,Attack,DoS
0,target_validation,1981,23793,0,Normal,Normal
0,target_validation,4311,92677,0,Normal,Normal
1,target_train,35829,94840,0,Normal,Normal
0,target_validation,9811,119261,0,Normal,Normal
1,target_train,76157,74722,0,Normal,Normal
1,target_train,79308,125078,1,Attack,DoS
0,target_validation,8990,115982,1,Attack,DoS
1,target_train,81689,70579,0,Normal,Normal
1,target_train,85422,23110,1,Attack,Probe
0,target_validation,4284,106369,1,Attack,DoS
1,target_train,11013,88084,1,Attack,Probe
0,target_validation,4941,67211,0,Normal,Normal
1,target_train,50133,3834,1,Attack,DoS
0,target_validation,2891,45597,0,Normal,Normal
1,target_train,69769,87765,1,Attack,DoS
1,target_train,82590,84731,0,Normal,Normal
0,target_validation,9161,47782,1,Attack,DoS
1,target_train,18116,54071,1,Attack,DoS
1,target_train,23965,92216,0,Normal,Normal
0,target_validation,5942,25227,1,Attack,DoS
1,target_train,49746,82655,1,Attack,Probe
1,target_train,40844,55103,0,Normal,Normal
1,target_train,88072,84754,0,Normal,Normal
0,target_validation,2984,44333,1,Attack,Probe
0,target_validation,4899,120226,0,Normal,Normal
1,target_train,13122,75459,0,Normal,Normal
1,target_train,39319,37228,0,Normal,Normal
0,target_validation,7358,42904,0,Normal,Normal
1,target_train,74724,41008,0,Normal,Normal
0,target_validation,6155,98812,1,Attack,DoS
1,target_train,10790,100617,1,Attack,DoS
0,target_validation,5081,35934,0,Normal,Normal
0,target_validation,424,44689,1,Attack,DoS
0,target_validation,3167,53892,1,Attack,Probe
1,target_train,87184,60431,0,Normal,Normal
1,target_train,38472,64562,1,Attack,DoS
0,target_validation,3328,49798,1,Attack,DoS
0,target_validation,9818,120923,0,Normal,Normal
0,target_validation,10768,88696,1,Attack,DoS
1,target_train,810,94255,0,Normal,Normal
1,target_train,85097,77552,0,Normal,Normal
1,target_train,24965,22032,0,Normal,Normal
1,target_train,81281,22481,0,Normal,Normal
1,target_train,48767,71092,1,Attack,DoS
1,target_train,8258,61826,1,Attack,DoS
1,target_train,57570,115730,0,Normal,Normal
1,target_train,37923,78906,0,Normal,Normal
1,target_train,34311,17529,1,Attack,DoS
0,target_validation,6953,22028,1,Attack,DoS
1,target_train,17362,82533,0,Normal,Normal
0,target_validation,11264,1421,0,Normal,Normal
1,target_train,80571,28736,1,Attack,Probe
1,target_train,87838,52451,0,Normal,Normal
1,target_train,42919,68215,1,Attack,DoS
1,target_train,20962,125179,1,Attack,DoS
1,target_train,57799,53943,1,Attack,Probe
1,target_train,19852,7284,1,Attack,DoS
0,target_validation,9712,77660,0,Normal,Normal
0,target_validation,1779,10598,1,Attack,Probe
1,target_train,72715,62584,0,Normal,Normal
1,target_train,60870,103961,1,Attack,DoS
0,target_validation,5875,58871,0,Normal,Normal
0,target_validation,2265,97978,1,Attack,DoS
0,target_validation,12229,120751,0,Normal,Normal
1,target_train,54058,113079,1,Attack,Rare
0,target_validation,8652,26508,1,Attack,DoS
0,target_validation,3639,29953,1,Attack,Probe
0,target_validation,7332,51975,0,Normal,Normal
0,target_validation,12491,52791,0,Normal,Normal
0,target_validation,9842,94266,0,Normal,Normal
1,target_train,82765,19902,1,Attack,DoS
1,target_train,55314,2219,0,Normal,Normal
1,target_train,34391,24238,1,Attack,Probe
1,target_train,50107,96908,1,Attack,Probe
0,target_validation,10825,68836,1,Attack,DoS
1,target_train,18956,3688,0,Normal,Normal
0,target_validation,9033,6243,1,Attack,DoS
0,target_validation,1851,53822,1,Attack,DoS
1,target_train,54826,27478,1,Attack,DoS
1,target_train,56946,54346,1,Attack,DoS
0,target_validation,10435,92857,0,Normal,Normal
0,target_validation,3926,31726,0,Normal,Normal
1,target_train,57813,64631,1,Attack,DoS
1,target_train,58509,8045,0,Normal,Normal
0,target_validation,10922,93673,1,Attack,Probe
1,target_train,81288,88594,0,Normal,Normal
0,target_validation,1073,47868,1,Attack,Probe
0,target_validation,11173,13220,1,Attack,DoS
0,target_validation,6106,67451,1,Attack,Probe
0,target_validation,12363,112570,1,Attack,DoS
0,target_validation,12156,108546,1,Attack,DoS
1,target_train,23494,28394,1,Attack,DoS
0,target_validation,8241,27266,1,Attack,Probe
1,target_train,72393,66686,1,Attack,DoS
1,target_train,79017,99293,1,Attack,DoS
0,target_validation,3413,34880,0,Normal,Normal
1,target_train,38886,118393,1,Attack,DoS
1,target_train,32844,62389,0,Normal,Normal
1,target_train,80092,19768,0,Normal,Normal
0,target_validation,6132,79495,1,Attack,DoS
0,target_validation,12245,2703,0,Normal,Normal
1,target_train,27682,58505,0,Normal,Normal
1,target_train,32538,106190,1,Attack,DoS
0,target_validation,443,78846,0,Normal,Normal
1,target_train,82175,44654,1,Attack,Probe
0,target_validation,10102,101155,1,Attack,DoS
1,target_train,20384,109349,1,Attack,DoS
1,target_train,61724,78163,0,Normal,Normal
1,target_train,726,33412,1,Attack,DoS
0,target_validation,3506,67566,1,Attack,DoS
1,target_train,79907,15789,0,Normal,Normal
0,target_validation,8908,42441,0,Normal,Normal
1,target_train,75185,41351,1,Attack,DoS
1,target_train,25969,122013,0,Normal,Normal
0,target_validation,366,3368,1,Attack,DoS
1,target_train,65599,73058,0,Normal,Normal
0,target_validation,9942,80089,1,Attack,DoS
0,target_validation,11176,54591,1,Attack,DoS
0,target_validation,2416,43620,0,Normal,Normal
1,target_train,25561,27037,1,Attack,DoS
0,target_validation,717,63176,1,Attack,DoS
1,target_train,28669,50827,1,Attack,DoS
1,target_train,40076,15182,0,Normal,Normal
0,target_validation,8092,2311,0,Normal,Normal
1,target_train,77735,41667,0,Normal,Normal
1,target_train,56098,8662,0,Normal,Normal
1,target_train,55040,14202,1,Attack,Rare
0,target_validation,3080,19721,0,Normal,Normal
0,target_validation,5706,123591,0,Normal,Normal
1,target_train,67540,33281,1,Attack,DoS
0,target_validation,11507,13344,1,Attack,DoS
0,target_validation,449,29509,0,Normal,Normal
1,target_train,37564,33985,0,Normal,Normal
0,target_validation,9998,74883,1,Attack,DoS
1,target_train,54746,67521,0,Normal,Normal
0,target_validation,3551,125031,0,Normal,Normal
0,target_validation,10738,4094,0,Normal,Normal
1,target_train,82370,64543,0,Normal,Normal
1,target_train,86122,86593,0,Normal,Normal
1,target_train,50513,31756,0,Normal,Normal
1,target_train,22152,117628,1,Attack,DoS
0,target_validation,12298,122435,1,Attack,DoS
0,target_validation,9226,43030,1,Attack,DoS
1,target_train,35679,109496,1,Attack,DoS
1,target_train,70129,87095,0,Normal,Normal
1,target_train,41881,123433,1,Attack,DoS
1,target_train,60515,104359,1,Attack,DoS
1,target_train,70890,87422,0,Normal,Normal
0,target_validation,1184,63768,1,Attack,DoS
1,target_train,76345,61265,0,Normal,Normal
1,target_train,5401,64198,1,Attack,DoS
0,target_validation,7339,22688,0,Normal,Normal
1,target_train,10078,50562,1,Attack,DoS
0,target_validation,6017,111194,1,Attack,DoS
1,target_train,78257,16511,1,Attack,DoS
0,target_validation,8171,65596,1,Attack,DoS
0,target_validation,270,68152,0,Normal,Normal
1,target_train,34479,47349,1,Attack,DoS
1,target_train,73277,80316,1,Attack,DoS
1,target_train,57551,20989,1,Attack,DoS
1,target_train,71569,54008,1,Attack,DoS
0,target_validation,11290,123899,1,Attack,DoS
1,target_train,51656,107914,0,Normal,Normal
1,target_train,82624,59324,1,Attack,DoS
1,target_train,53597,26639,0,Normal,Normal
1,target_train,43383,60543,1,Attack,DoS
0,target_validation,10436,46753,0,Normal,Normal
0,target_validation,10606,19016,0,Normal,Normal
0,target_validation,12260,34271,0,Normal,Normal
0,target_validation,7338,45329,1,Attack,DoS
0,target_validation,9015,17264,1,Attack,DoS
0,target_validation,4791,70479,0,Normal,Normal
1,target_train,77955,76942,0,Normal,Normal
0,target_validation,5827,92453,0,Normal,Normal
1,target_train,79278,4659,1,Attack,DoS
0,target_validation,1221,87366,1,Attack,DoS
1,target_train,25530,61235,1,Attack,DoS
1,target_train,71630,44546,0,Normal,Normal
1,target_train,10739,121788,0,Normal,Normal
1,target_train,49234,103458,0,Normal,Normal
0,target_validation,10528,11045,0,Normal,Normal
0,target_validation,11804,36063,0,Normal,Normal
1,target_train,45762,98314,0,Normal,Normal
0,target_validation,12064,92915,0,Normal,Normal
1,target_train,41010,74176,0,Normal,Normal
0,target_validation,11095,2726,0,Normal,Normal
1,target_train,25644,85230,0,Normal,Normal
0,target_validation,7928,83155,1,Attack,DoS
0,target_validation,1769,66249,0,Normal,Normal
1,target_train,65388,75056,0,Normal,Normal
0,target_validation,1237,99340,0,Normal,Normal
0,target_validation,9101,48405,1,Attack,DoS
1,target_train,22666,117303,1,Attack,Probe
0,target_validation,2728,94822,0,Normal,Normal
1,target_train,34541,113053,1,Attack,DoS
0,target_validation,7614,6916,0,Normal,Normal
0,target_validation,8324,55947,1,Attack,DoS
1,target_train,12715,48293,0,Normal,Normal
1,target_train,73247,62318,0,Normal,Normal
1,target_train,59440,78817,0,Normal,Normal
0,target_validation,9065,105024,1,Attack,DoS
0,target_validation,7572,94599,1,Attack,DoS
0,target_validation,6187,107115,0,Normal,Normal
0,target_validation,3929,70570,0,Normal,Normal
1,target_train,87125,8025,1,Attack,DoS
0,target_validation,10189,4102,1,Attack,DoS
1,target_train,16247,67198,0,Normal,Normal
0,target_validation,11309,26162,1,Attack,DoS
0,target_validation,6469,94267,0,Normal,Normal
1,target_train,62312,60720,0,Normal,Normal
1,target_train,59692,16999,0,Normal,Normal
0,target_validation,10716,38639,0,Normal,Normal
1,target_train,59863,19588,1,Attack,DoS
1,target_train,49528,70631,1,Attack,DoS
0,target_validation,8966,25614,0,Normal,Normal
1,target_train,887,90987,0,Normal,Normal
0,target_validation,7889,5022,0,Normal,Normal
1,target_train,24293,120488,1,Attack,DoS
1,target_train,48949,23020,0,Normal,Normal
1,target_train,36411,109037,0,Normal,Normal
0,target_validation,11138,52479,1,Attack,DoS
0,target_validation,2169,67235,0,Normal,Normal
1,target_train,78019,31151,0,Normal,Normal
0,target_validation,12301,96064,0,Normal,Normal
1,target_train,31988,50099,1,Attack,DoS
1,target_train,87104,104711,0,Normal,Normal
1,target_train,83558,98079,1,Attack,DoS
0,target_validation,2858,30419,0,Normal,Normal
0,target_validation,12237,94422,1,Attack,DoS
0,target_validation,3151,79129,1,Attack,Rare
0,target_validation,8167,56779,1,Attack,DoS
0,target_validation,4648,10595,1,Attack,DoS
0,target_validation,2067,38286,0,Normal,Normal
0,target_validation,3071,5373,0,Normal,Normal
1,target_train,68551,106365,1,Attack,DoS
0,target_validation,2527,10081,1,Attack,DoS
0,target_validation,1080,89857,0,Normal,Normal
0,target_validation,8266,105826,0,Normal,Normal
0,target_validation,4303,43137,0,Normal,Normal
1,target_train,68496,79802,0,Normal,Normal
0,target_validation,8735,55719,1,Attack,DoS
0,target_validation,3470,68389,0,Normal,Normal
0,target_validation,5690,7573,0,Normal,Normal
0,target_validation,11530,69335,1,Attack,DoS
0,target_validation,9846,51563,1,Attack,DoS
1,target_train,20318,86831,1,Attack,DoS
1,target_train,48253,43932,0,Normal,Normal
0,target_validation,6596,116258,0,Normal,Normal
1,target_train,74043,118507,0,Normal,Normal
1,target_train,87540,19197,0,Normal,Normal
0,target_validation,8203,69563,1,Attack,DoS
0,target_validation,4671,119190,1,Attack,DoS
1,target_train,29652,99289,1,Attack,DoS
0,target_validation,10200,84759,0,Normal,Normal
1,target_train,19061,80827,1,Attack,DoS
1,target_train,53675,84292,0,Normal,Normal
0,target_validation,2504,108931,0,Normal,Normal
1,target_train,21784,59289,0,Normal,Normal
0,target_validation,4238,117937,0,Normal,Normal
1,target_train,49930,65517,0,Normal,Normal
0,target_validation,10690,91312,0,Normal,Normal
0,target_validation,1817,59812,0,Normal,Normal
1,target_train,35038,64072,1,Attack,DoS
1,target_train,21526,107017,1,Attack,DoS
1,target_train,49320,52349,1,Attack,DoS
1,target_train,49375,57040,1,Attack,Probe
1,target_train,61806,58918,0,Normal,Normal
1,target_train,16900,53662,1,Attack,DoS
0,target_validation,5008,39299,0,Normal,Normal
0,target_validation,7429,107378,0,Normal,Normal
1,target_train,50069,12304,1,Attack,DoS
0,target_validation,11764,41490,0,Normal,Normal
0,target_validation,10133,99877,1,Attack,DoS
1,target_train,67053,111145,0,Normal,Normal
1,target_train,13392,18029,0,Normal,Normal
1,target_train,66411,48137,1,Attack,DoS
1,target_train,86419,4409,0,Normal,Normal
1,target_train,61710,32733,1,Attack,DoS
0,target_validation,11525,26267,0,Normal,Normal
1,target_train,26166,4740,0,Normal,Normal
1,target_train,1566,125090,1,Attack,DoS
1,target_train,50111,36657,0,Normal,Normal
0,target_validation,3249,36163,0,Normal,Normal
0,target_validation,3582,117381,0,Normal,Normal
0,target_validation,9324,104428,1,Attack,DoS
0,target_validation,4071,1843,1,Attack,DoS
1,target_train,75345,82728,0,Normal,Normal
1,target_train,64502,214,1,Attack,DoS
0,target_validation,3048,55199,0,Normal,Normal
1,target_train,37329,72014,0,Normal,Normal
0,target_validation,430,55514,1,Attack,DoS
1,target_train,43231,45360,1,Attack,DoS
0,target_validation,2070,18523,1,Attack,DoS
0,target_validation,3393,102494,0,Normal,Normal
1,target_train,87019,101859,0,Normal,Normal
0,target_validation,8264,70000,1,Attack,DoS
0,target_validation,9044,44021,1,Attack,DoS
1,target_train,81578,105635,1,Attack,DoS
1,target_train,84052,60334,1,Attack,Probe
0,target_validation,4144,14079,1,Attack,DoS
1,target_train,81089,15516,0,Normal,Normal
1,target_train,36817,54592,0,Normal,Normal
0,target_validation,11647,51798,1,Attack,Probe
0,target_validation,7002,33685,0,Normal,Normal
1,target_train,25764,39823,1,Attack,DoS
0,target_validation,967,41272,0,Normal,Normal
0,target_validation,1097,116074,1,Attack,DoS
0,target_validation,5544,57457,0,Normal,Normal
1,target_train,36260,5822,1,Attack,DoS
1,target_train,7356,71778,0,Normal,Normal
0,target_validation,556,23608,1,Attack,DoS
1,target_train,71860,34953,1,Attack,Rare
1,target_train,57022,62015,1,Attack,DoS
1,target_train,1294,14345,0,Normal,Normal
0,target_validation,12021,117307,0,Normal,Normal
1,target_train,82527,66936,0,Normal,Normal
0,target_validation,11059,40265,0,Normal,Normal
1,target_train,72820,18126,1,Attack,DoS
1,target_train,62352,12387,0,Normal,Normal
1,target_train,610,123560,1,Attack,DoS
1,target_train,73009,17924,0,Normal,Normal
1,target_train,83701,123835,1,Attack,Probe
1,target_train,84981,11959,0,Normal,Normal
1,target_train,74528,26255,1,Attack,DoS
0,target_validation,9756,104848,1,Attack,DoS
1,target_train,77618,21782,1,Attack,Probe
0,target_validation,8887,44906,0,Normal,Normal
1,target_train,47898,85366,0,Normal,Normal
0,target_validation,623,106760,0,Normal,Normal
1,target_train,81421,11396,0,Normal,Normal
1,target_train,57556,76057,1,Attack,DoS
1,target_train,14513,7554,1,Attack,DoS
1,target_train,13397,95089,1,Attack,DoS
1,target_train,40795,64523,0,Normal,Normal
0,target_validation,9069,106515,1,Attack,DoS
0,target_validation,10778,17319,1,Attack,DoS
1,target_train,69000,48591,0,Normal,Normal
1,target_train,80755,4441,1,Attack,DoS
1,target_train,8191,6121,0,Normal,Normal
0,target_validation,4381,45903,0,Normal,Normal
1,target_train,24142,62283,1,Attack,DoS
1,target_train,66993,104043,0,Normal,Normal
0,target_validation,4973,81972,0,Normal,Normal
1,target_train,50394,117554,0,Normal,Normal
1,target_train,54527,31974,0,Normal,Normal
1,target_train,10344,1357,1,Attack,Probe
0,target_validation,12321,12029,0,Normal,Normal
0,target_validation,7054,67133,0,Normal,Normal
0,target_validation,7561,25891,1,Attack,DoS
1,target_train,48172,15172,1,Attack,DoS
1,target_train,77714,98316,0,Normal,Normal
1,target_train,37588,98788,1,Attack,DoS
1,target_train,25152,84946,0,Normal,Normal
0,target_validation,9486,60466,0,Normal,Normal
1,target_train,45558,12422,0,Normal,Normal
